,SP500,Strategy_original,strategy_adjust
80,-0.5087235425663779,-0.34947795590432396,-0.34872454117580187
81,-0.5071796575705558,-0.3350024829037539,-0.33185844048209234
82,-0.4841278843780885,-0.2831950066169221,-0.26710603445729963
83,-0.4771748731122848,-0.27610331911070896,-0.258151417106391
84,-0.5269362361970714,-0.40416184371180597,-0.4165226664537184
85,-0.4492862656492508,-0.22555771790468515,-0.19374173881509416
86,-0.42900474549455103,-0.18238143442531218,-0.13793560647566483
87,-0.4018936991447427,-0.11876313752853307,-0.054450979094956664
88,-0.3882547858887647,-0.0903256664473604,-0.01666834168691511
89,-0.3735557770856265,-0.05791314603314801,0.026733552199874833
90,-0.3706972818397838,-0.058982962181838294,0.025295367660391754
91,-0.38061138577358256,-0.0967279175701028,-0.02519894485000229
92,-0.35080091447243555,-0.018732801903890484,0.07966546611347836
93,-0.3421652949813354,-0.0016723808367357096,0.10286998577435802
94,-0.3197781898437867,0.05871728110649088,0.185747311727551
95,-0.28217313085438356,0.17206614934161646,0.34427657052102467
96,-0.3173425602066612,0.049209900792346106,0.17262445510025048
97,-0.3090382860010339,0.06729383329578309,0.19760905609499502
98,-0.3029291200364602,0.07874982484339932,0.21348799940728536
99,-0.27848818916541573,0.15193992555897662,0.3158549647614699
100,-0.29646944675739195,0.08357844745690834,0.22019272271184942
101,-0.2977117593418993,0.07138429809058366,0.20327421953241243
102,-0.2556935529308435,0.2077718831007418,0.3949798047743571
103,-0.23081087714998738,0.29079573630754485,0.5142243852287884
104,-0.2264746581702033,0.2998310705950722,0.5273123689644938
105,-0.20635551349534453,0.369821967992896,0.6294101968413697
106,-0.1917920832111607,0.42071513352602263,0.7044241306957797
107,-0.19626884694213342,0.3963563357300295,0.6684405830421145
108,-0.21961431376692742,0.29804198272644444,0.5247191192817573
109,-0.2160968242035255,0.3048740675432653,0.5346265947080868
110,-0.21254215205392724,0.3120770934548178,0.545085144711307
111,-0.17722468077866482,0.4492942123972472,0.7468264065743746
112,-0.16772534991039834,0.48367996669095836,0.7981037858087945
113,-0.1734406062560363,0.45339991291026105,0.752934152805349
114,-0.1431439716226206,0.5356191042585969,0.8481011170881239
115,-0.13794935411770548,0.538234119686346,0.8424840949059322
116,-0.13206067618311323,0.5587138017568216,0.8725104003935065
117,-0.14046222982347556,0.518231566411929,0.8132430800716814
118,-0.12233212808820526,0.5922529315884362,0.9218733299389545
119,-0.11808097377095683,0.6069217974687877,0.9435361191772413
120,-0.11926803808290298,0.5974841651406779,0.929593673396643
121,-0.11978499185455405,0.5910215286182074,0.9200568244557852
122,-0.12623889078828232,0.5578385806016661,0.8712253891290782
123,-0.10741445850689335,0.6396555093836771,0.9920352258227334
124,-0.1166882955131715,0.5928481992944443,0.9227515518887528
125,-0.11871314547359868,0.5794713379606695,0.9030338033831471
126,-0.1342757534174147,0.5043081567276793,0.7929394300685795
127,-0.1532315617834501,0.41560575494538243,0.6645840093824957
128,-0.15724299183636226,0.3932813905187298,0.6325565560871886
129,-0.1209222554425845,0.5142847829860164,0.7856611389596497
130,-0.11279705438493703,0.5033359998769082,0.7493740239709006
131,-0.09482289550726686,0.5356401449628336,0.7761220361037926
132,-0.09630087744678706,0.48390590698566927,0.6878699401739721
133,-0.08328494506187689,0.495958093044629,0.6900300767465137
134,-0.07347401912258622,0.5211632210037898,0.7190695758629935
135,-0.0732787800856679,0.5198456881315838,0.7172924367302127
136,-0.08001969484742621,0.49039350835140505,0.6776445617022988
137,-0.05280401863139872,0.6010716689217246,0.8274036626647234
138,-0.09892147659657624,0.4099320712918333,0.5701094348992148
139,-0.10022200525422298,0.4021000415006566,0.5597044310676949
140,-0.08270954118367291,0.4703021875393272,0.650684925497987
141,-0.09306892837780811,0.42557426463208725,0.5909239024746684
142,-0.0841110269041877,0.4598784499134656,0.6367258400258264
143,-0.06782776489693543,0.48982350620589665,0.6649620570271859
144,-0.03997838534350684,0.5917412330235612,0.7962762904323675
145,-0.03966816422277997,0.5919191633179839,0.7965143620985184
146,-0.034271325275294084,0.6139469532102293,0.8260257302674829
147,-0.029070020460955637,0.5890628145877137,0.8551258848906722
148,-0.017810952906981314,0.5911784401260483,0.9214354369068336
149,-0.015187667304829566,0.5881578879569695,0.9367688953390616
150,-0.029470970170957345,0.5304346176404453,0.8493131494851447
151,-0.021153247239860562,0.5631016831448623,0.8987078924212635
152,-0.020927416063624138,0.5634642241167764,0.8992575275764643
153,-0.005384200335292411,0.6273915410959636,0.9966652672117879
154,-0.006823062566471805,0.6211707672005304,0.9871441108657533
155,-0.005595381683179745,0.6262006277020362,0.9948418235125063
156,-0.010808785607986926,0.6038360397001441,0.9606605045044778
