Stock Quotes for ^GSPC,,,,Stock Quotes for ^IXIC,,,,Stock Quotes for ^DJI,,,,Stock Quotes for ^RUT,,,,Stock Quotes for ^VIX,,,,Stock Quotes for ^W5000,,
Date,Close,Volume,,Date,Close,Volume,,Date,Close,Volume,,Date,Close,Volume,,Date,Close,Volume,,Date,Close,Volume
2017/7/24,2469.909912,3010240000,,2017/7/24,6410.810059,1735520000,,2017/7/24,21513.16992,284080000,,2017/7/24,1438.050049,30102400,,2017/7/24,9.43,0,,2017/7/24,25766.19922,0
2017/7/21,2472.540039,3059570000,,2017/7/21,6387.75,1797100000,,2017/7/21,21580.07031,362830000,,2017/7/21,1435.839966,30595700,,2017/7/21,9.36,0,,2017/7/21,25711.94922,0
2017/7/20,2473.449951,3182780000,,2017/7/20,6390,1818880000,,2017/7/20,21611.7793,313950000,,2017/7/20,1442.349976,31827800,,2017/7/20,9.58,0,,2017/7/20,25728.63086,0
2017/7/19,2473.830078,3059760000,,2017/7/19,6385.040039,1862910000,,2017/7/19,21640.75,253040000,,2017/7/19,1441.77002,30597600,,2017/7/19,9.79,0,,2017/7/19,25728.67969,0
2017/7/18,2460.610107,2962130000,,2017/7/18,6344.310059,1762400000,,2017/7/18,21574.73047,251110000,,2017/7/18,1427.609985,29621300,,2017/7/18,9.89,0,,2017/7/18,25587.7207,0
2017/7/17,2459.139893,2793170000,,2017/7/17,6314.430176,1558030000,,2017/7/17,21629.7207,244780000,,2017/7/17,1431.599976,27931700,,2017/7/17,9.82,0,,2017/7/17,25577.5,0
2017/7/14,2459.27002,2736640000,,2017/7/14,6312.470215,1608120000,,2017/7/14,21637.74023,235590000,,2017/7/14,1428.819946,27366400,,2017/7/14,9.51,0,,2017/7/14,25569.92969,0
2017/7/13,2447.830078,3067670000,,2017/7/13,6274.439941,1803810000,,2017/7/13,21553.08984,232270000,,2017/7/13,1425.660034,30676700,,2017/7/13,9.9,0,,2017/7/13,25456.98047,0
2017/7/12,2443.25,3171620000,,2017/7/12,6261.169922,1820550000,,2017/7/12,21532.14063,267870000,,2017/7/12,1424.319946,31716200,,2017/7/12,10.3,0,,2017/7/12,25411.00977,0
2017/7/11,2425.530029,3106750000,,2017/7/11,6193.299805,1808110000,,2017/7/11,21409.07031,247570000,,2017/7/11,1413.050049,31067500,,2017/7/11,10.89,0,,2017/7/11,25229.44922,0
2017/7/10,2427.429932,2999130000,,2017/7/10,6176.390137,1675470000,,2017/7/10,21408.51953,270340000,,2017/7/10,1408.469971,29991300,,2017/7/10,11.11,0,,2017/7/10,25227.30078,0
2017/7/7,2425.179932,2901330000,,2017/7/7,6153.080078,1700630000,,2017/7/7,21414.33984,242240000,,2017/7/7,1415.839966,29013300,,2017/7/7,11.19,0,,2017/7/7,25219.16016,0
2017/7/6,2409.75,3364520000,,2017/7/6,6089.459961,1990590000,,2017/7/6,21320.03906,320450000,,2017/7/6,1400.810059,33645200,,2017/7/6,12.54,0,,2017/7/6,25059.75,0
2017/7/5,2432.540039,3367220000,,2017/7/5,6150.859863,1872130000,,2017/7/5,21478.16992,273690000,,2017/7/5,1420.150024,33672200,,2017/7/5,11.07,0,,2017/7/5,25305.33008,0
2017/7/3,2429.01001,1962290000,,2017/7/3,6110.060059,1099560000,,2017/7/3,21479.26953,186810000,,2017/7/3,1426.680054,19021900,,2017/7/3,11.22,0,,2017/7/3,25285.08008,0
2017/6/30,2423.409912,3361590000,,2017/6/30,6140.419922,1998330000,,2017/6/30,21349.63086,313260000,,2017/6/30,1415.359985,33615900,,2017/6/30,11.18,0,,2017/6/30,25230.41016,0
2017/6/29,2419.699951,3900280000,,2017/6/29,6144.350098,2402250000,,2017/6/29,21287.0293,336750000,,2017/6/29,1416.199951,39002800,,2017/6/29,11.44,0,,2017/6/29,25193.90039,0
2017/6/28,2440.689941,3500800000,,2017/6/28,6234.410156,2069400000,,2017/6/28,21454.60938,271510000,,2017/6/28,1425.27002,35008000,,2017/6/28,10.03,0,,2017/6/28,25398.39063,0
2017/6/27,2419.379883,3563910000,,2017/6/27,6146.620117,2181830000,,2017/6/27,21310.66016,292170000,,2017/6/27,1403.52002,35639100,,2017/6/27,11.06,0,,2017/6/27,25165.84961,0
2017/6/26,2439.070068,3238970000,,2017/6/26,6247.149902,2150630000,,2017/6/26,21409.55078,241880000,,2017/6/26,1416.640015,32389700,,2017/6/26,9.9,0,,2017/6/26,25367.61914,0
2017/6/23,2438.300049,5278330000,,2017/6/23,6265.25,2704600000,,2017/6/23,21394.75977,368400000,,2017/6/23,1414.780029,52783300,,2017/6/23,10.02,0,,2017/6/23,25349.11914,0
2017/6/22,2434.5,3468210000,,2017/6/22,6236.689941,2170250000,,2017/6/22,21397.28906,270680000,,2017/6/22,1404.540039,34682100,,2017/6/22,10.48,0,,2017/6/22,25280.48047,0
2017/6/21,2435.610107,3594820000,,2017/6/21,6233.950195,2401440000,,2017/6/21,21410.0293,292500000,,2017/6/21,1399.25,35948200,,2017/6/21,10.75,0,,2017/6/21,25271.32031,0
2017/6/20,2437.030029,3416510000,,2017/6/20,6188.029785,2570130000,,2017/6/20,21467.14063,310200000,,2017/6/20,1402.969971,34165100,,2017/6/20,10.86,0,,2017/6/20,25294.88086,0
2017/6/19,2453.459961,3264700000,,2017/6/19,6239.009766,1976970000,,2017/6/19,21528.99023,289400000,,2017/6/19,1418.079956,32647000,,2017/6/19,10.37,0,,2017/6/19,25436.5,0
2017/6/16,2433.149902,5284720000,,2017/6/16,6151.759766,3120640000,,2017/6/16,21384.2793,603260000,,2017/6/16,1406.72998,52847200,,2017/6/16,10.38,0,,2017/6/16,25266.60938,0
2017/6/15,2432.459961,3353050000,,2017/6/15,6165.5,1858130000,,2017/6/15,21359.90039,317200000,,2017/6/15,1410.079956,33530500,,2017/6/15,10.9,0,,2017/6/15,25281.51953,0
2017/6/14,2437.919922,3555590000,,2017/6/14,6194.890137,1940440000,,2017/6/14,21374.56055,295090000,,2017/6/14,1417.569946,35555900,,2017/6/14,10.64,0,,2017/6/14,25354.74023,0
2017/6/13,2440.350098,3275500000,,2017/6/13,6220.370117,2062110000,,2017/6/13,21328.4707,323510000,,2017/6/13,1425.98999,32755000,,2017/6/13,10.42,0,,2017/6/13,25401.15039,0
2017/6/12,2429.389893,4027750000,,2017/6/12,6175.459961,2586540000,,2017/6/12,21235.66992,528080000,,2017/6/12,1419.209961,40277500,,2017/6/12,11.46,0,,2017/6/12,25270.99023,0
2017/6/9,2431.77002,4027340000,,2017/6/9,6207.919922,3152050000,,2017/6/9,21271.9707,397200000,,2017/6/9,1421.709961,40273400,,2017/6/9,10.7,0,,2017/6/9,25295.44922,0
2017/6/8,2433.790039,3728860000,,2017/6/8,6321.759766,2128780000,,2017/6/8,21182.5293,330330000,,2017/6/8,1415.609985,37288600,,2017/6/8,10.16,0,,2017/6/8,25312.69922,0
2017/6/7,2433.139893,3572300000,,2017/6/7,6297.379883,1822270000,,2017/6/7,21173.68945,273400000,,2017/6/7,1396.670044,35723000,,2017/6/7,10.39,0,,2017/6/7,25273.16016,0
2017/6/6,2429.330078,3357840000,,2017/6/6,6275.060059,1889690000,,2017/6/6,21136.23047,283550000,,2017/6/6,1394.900024,33578400,,2017/6/6,10.45,0,,2017/6/6,25250.42969,0
2017/6/5,2436.100098,2912600000,,2017/6/5,6295.680176,1739820000,,2017/6/5,21184.03906,269790000,,2017/6/5,1396.449951,29126000,,2017/6/5,10.07,0,,2017/6/5,25322.05078,0
2017/6/2,2439.070068,3461680000,,2017/6/2,6305.799805,1820000000,,2017/6/2,21206.28906,329700000,,2017/6/2,1405.390015,34616800,,2017/6/2,9.75,0,,2017/6/2,25345.26953,0
2017/6/1,2430.060059,3857140000,,2017/6/1,6246.830078,1943610000,,2017/6/1,21144.17969,276730000,,2017/6/1,1396.060059,38571400,,2017/6/1,9.89,0,,2017/6/1,25276.19922,0
2017/5/31,2411.800049,4516110000,,2017/5/31,6198.52002,2209400000,,2017/5/31,21008.65039,371580000,,2017/5/31,1370.209961,45161100,,2017/5/31,10.41,0,,2017/5/31,25041.33984,0
2017/5/30,2412.909912,3203160000,,2017/5/30,6203.189941,1688480000,,2017/5/30,21029.4707,242810000,,2017/5/30,1371.189941,32031600,,2017/5/30,10.38,0,,2017/5/30,25053.41016,0
2017/5/26,2415.820068,2805040000,,2017/5/26,6210.189941,1571040000,,2017/5/26,21080.2793,208000000,,2017/5/26,1382.23999,28050400,,2017/5/26,9.81,0,,2017/5/26,25107.10938,0
2017/5/25,2415.070068,3535390000,,2017/5/25,6205.259766,1767690000,,2017/5/25,21082.94922,268970000,,2017/5/25,1383.390015,35353900,,2017/5/25,9.99,0,,2017/5/25,25105.2207,0
2017/5/24,2404.389893,3389900000,,2017/5/24,6163.02002,1666050000,,2017/5/24,21012.41992,283180000,,2017/5/24,1382.51001,33899000,,2017/5/24,10.02,0,,2017/5/24,25009.91992,0
2017/5/23,2398.419922,3213570000,,2017/5/23,6138.709961,1705860000,,2017/5/23,20937.91016,244950000,,2017/5/23,1380.97998,32135700,,2017/5/23,10.72,0,,2017/5/23,24948.10938,0
2017/5/22,2394.02002,3172830000,,2017/5/22,6133.620117,1726230000,,2017/5/22,20894.83008,276120000,,2017/5/22,1377.140015,31728300,,2017/5/22,10.93,0,,2017/5/22,24919.19922,0
2017/5/19,2381.72998,3825160000,,2017/5/19,6083.700195,1905520000,,2017/5/19,20804.83984,365180000,,2017/5/19,1367.329956,38251600,,2017/5/19,12.04,0,,2017/5/19,24762.34961,0
2017/5/18,2365.719971,4319420000,,2017/5/18,6055.129883,2131520000,,2017/5/18,20663.01953,422590000,,2017/5/18,1361.079956,43194200,,2017/5/18,14.66,0,,2017/5/18,24589.18945,0
2017/5/17,2357.030029,4163000000,,2017/5/17,6011.240234,2347480000,,2017/5/17,20606.92969,423200000,,2017/5/17,1355.890015,41630000,,2017/5/17,15.59,0,,2017/5/17,24498.2207,0
2017/5/16,2400.669922,3420790000,,2017/5/16,6169.870117,1999330000,,2017/5/16,20979.75,311580000,,2017/5/16,1394.680054,34207900,,2017/5/16,10.65,0,,2017/5/16,24965.49023,0
2017/5/15,2402.320068,3473600000,,2017/5/15,6149.669922,1850790000,,2017/5/15,20981.93945,313170000,,2017/5/15,1393.920044,34736000,,2017/5/15,10.42,0,,2017/5/15,24981.51953,0
2017/5/12,2390.899902,3305630000,,2017/5/12,6121.22998,1740960000,,2017/5/12,20896.60938,288500000,,2017/5/12,1382.77002,33056300,,2017/5/12,10.4,0,,2017/5/12,24855.89063,0
2017/5/11,2394.439941,3727420000,,2017/5/11,6115.959961,1950910000,,2017/5/11,20919.41992,287680000,,2017/5/11,1390.199951,37274200,,2017/5/11,10.6,0,,2017/5/11,24905.7207,0
2017/5/10,2399.629883,3643530000,,2017/5/10,6129.140137,2108000000,,2017/5/10,20943.10938,283340000,,2017/5/10,1399.589966,36435300,,2017/5/10,10.21,0,,2017/5/10,24977.56055,0
2017/5/9,2396.919922,3653590000,,2017/5/9,6120.589844,1997490000,,2017/5/9,20975.7793,273000000,,2017/5/9,1391.859985,36535900,,2017/5/9,9.96,0,,2017/5/9,24932.90039,0
2017/5/8,2399.379883,3429440000,,2017/5/8,6102.660156,1909710000,,2017/5/8,21012.2793,276150000,,2017/5/8,1391.640015,34294400,,2017/5/8,9.77,0,,2017/5/8,24954.78906,0
2017/5/5,2399.290039,3540140000,,2017/5/5,6100.759766,1899570000,,2017/5/5,21006.93945,260960000,,2017/5/5,1397,35401400,,2017/5/5,10.57,0,,2017/5/5,24975.86914,0
2017/5/4,2389.52002,4362540000,,2017/5/4,6075.339844,2056270000,,2017/5/4,20951.4707,274720000,,2017/5/4,1388.849976,43625400,,2017/5/4,10.46,0,,2017/5/4,24853.7793,0
2017/5/3,2388.129883,3893990000,,2017/5/3,6072.549805,2149360000,,2017/5/3,20957.90039,310920000,,2017/5/3,1390.920044,38939900,,2017/5/3,10.68,0,,2017/5/3,24864.25977,0
2017/5/2,2391.169922,3813680000,,2017/5/2,6095.370117,2146730000,,2017/5/2,20949.89063,338810000,,2017/5/2,1399.359985,38136800,,2017/5/2,10.59,0,,2017/5/2,24953.9707,0
2017/5/1,2388.330078,3199240000,,2017/5/1,6091.600098,1757000000,,2017/5/1,20913.46094,288160000,,2017/5/1,1407.359985,31992400,,2017/5/1,10.11,0,,2017/5/1,24929.75977,0
2017/4/28,2384.199951,3718270000,,2017/4/28,6047.609863,1995160000,,2017/4/28,20940.50977,329990000,,2017/4/28,1400.430054,37182700,,2017/4/28,10.82,0,,2017/4/28,24878.48047,0
2017/4/27,2388.77002,4098460000,,2017/4/27,6048.939941,1876700000,,2017/4/27,20981.33008,305690000,,2017/4/27,1417.130005,40984600,,2017/4/27,10.36,0,,2017/4/27,24955.80078,0
2017/4/26,2387.449951,4105920000,,2017/4/26,6025.22998,1894210000,,2017/4/26,20975.08984,328550000,,2017/4/26,1419.430054,41059200,,2017/4/26,10.85,0,,2017/4/26,24949.21094,0
2017/4/25,2388.610107,3995240000,,2017/4/25,6025.490234,1895430000,,2017/4/25,20996.11914,348180000,,2017/4/25,1411.079956,39952400,,2017/4/25,10.76,0,,2017/4/25,24943.40039,0
2017/4/24,2374.149902,3690650000,,2017/4/24,5983.819824,1836570000,,2017/4/24,20763.89063,342400000,,2017/4/24,1397.939941,36906500,,2017/4/24,10.84,0,,2017/4/24,24782.33008,0
2017/4/21,2348.689941,3503360000,,2017/4/21,5910.52002,1723210000,,2017/4/21,20547.75977,369600000,,2017/4/21,1379.849976,35033600,,2017/4/21,14.63,0,,2017/4/21,24519.94922,0
2017/4/20,2355.840088,3647420000,,2017/4/20,5916.779785,1749110000,,2017/4/20,20578.71094,312440000,,2017/4/20,1384.150024,36474200,,2017/4/20,14.15,0,,2017/4/20,24590.28906,0
2017/4/19,2338.169922,3519900000,,2017/4/19,5863.029785,1752620000,,2017/4/19,20404.49023,294790000,,2017/4/19,1367.130005,35199000,,2017/4/19,14.93,0,,2017/4/19,24397.24023,0
2017/4/18,2342.189941,3269840000,,2017/4/18,5849.470215,1608870000,,2017/4/18,20523.2793,263180000,,2017/4/18,1361.890015,32698400,,2017/4/18,14.42,0,,2017/4/18,24421.7207,0
2017/4/17,2349.01001,2824710000,,2017/4/17,5856.790039,1381290000,,2017/4/17,20636.91992,229240000,,2017/4/17,1361.180054,28247100,,2017/4/17,14.66,0,,2017/4/17,24472.40039,0
2017/4/13,2328.949951,3143890000,,2017/4/13,5805.149902,1581870000,,2017/4/13,20453.25,235810000,,2017/4/13,1345.23999,31438900,,2017/4/13,15.96,0,,2017/4/13,24262.58984,0
2017/4/12,2344.929932,3196950000,,2017/4/12,5836.160156,1658960000,,2017/4/12,20591.85938,267670000,,2017/4/12,1359.199951,31969500,,2017/4/12,15.77,0,,2017/4/12,24425.49023,0
2017/4/11,2353.780029,3117420000,,2017/4/11,5866.77002,1821650000,,2017/4/11,20651.30078,255120000,,2017/4/11,1376.949951,31174200,,2017/4/11,15.07,0,,2017/4/11,24559.68945,0
2017/4/10,2357.159912,2785410000,,2017/4/10,5880.930176,1630070000,,2017/4/10,20658.01953,230480000,,2017/4/10,1367.089966,27854100,,2017/4/10,14.05,0,,2017/4/10,24560.58984,0
2017/4/7,2355.540039,3053150000,,2017/4/7,5877.810059,1692150000,,2017/4/7,20656.09961,219730000,,2017/4/7,1364.560059,30531500,,2017/4/7,12.87,0,,2017/4/7,24535.23047,0
2017/4/6,2357.48999,3201920000,,2017/4/6,5878.950195,1845800000,,2017/4/6,20662.94922,251720000,,2017/4/6,1364.430054,32019200,,2017/4/6,12.39,0,,2017/4/6,24549.49023,0
2017/4/5,2352.949951,3770520000,,2017/4/5,5864.47998,2204490000,,2017/4/5,20648.15039,284980000,,2017/4/5,1352.140015,37705200,,2017/4/5,12.89,0,,2017/4/5,24476.06055,0
2017/4/4,2360.159912,3206240000,,2017/4/4,5898.609863,1790840000,,2017/4/4,20689.24023,237390000,,2017/4/4,1368.180054,32062400,,2017/4/4,11.79,0,,2017/4/4,24577.89063,0
2017/4/3,2358.840088,3416400000,,2017/4/3,5894.680176,1854200000,,2017/4/3,20650.21094,285670000,,2017/4/3,1369.670044,34164000,,2017/4/3,12.38,0,,2017/4/3,24562.49023,0
2017/3/31,2362.719971,3354110000,,2017/3/31,5911.740234,1902800000,,2017/3/31,20663.2207,303770000,,2017/3/31,1385.920044,33541100,,2017/3/31,12.37,0,,2017/3/31,24624.7207,0
2017/3/30,2368.060059,3158420000,,2017/3/30,5914.339844,1723770000,,2017/3/30,20728.49023,270900000,,2017/3/30,1382.349976,31584200,,2017/3/30,11.54,0,,2017/3/30,24657.18945,0
2017/3/29,2361.129883,3106940000,,2017/3/29,5897.549805,1718680000,,2017/3/29,20659.32031,238320000,,2017/3/29,1371.640015,31069400,,2017/3/29,11.42,0,,2017/3/29,24567.99023,0
2017/3/28,2358.570068,3367780000,,2017/3/28,5875.140137,1820860000,,2017/3/28,20701.5,299670000,,2017/3/28,1367.26001,33677800,,2017/3/28,11.53,0,,2017/3/28,24531.0293,0
2017/3/27,2341.590088,3240230000,,2017/3/27,5840.370117,1670760000,,2017/3/27,20550.98047,269380000,,2017/3/27,1357.319946,32402300,,2017/3/27,12.5,0,,2017/3/27,24353.19922,0
2017/3/24,2343.97998,2975130000,,2017/3/24,5828.740234,1841920000,,2017/3/24,20596.7207,292980000,,2017/3/24,1354.640015,29751300,,2017/3/24,12.96,0,,2017/3/24,24377.28906,0
2017/3/23,2345.959961,3260600000,,2017/3/23,5817.689941,1742640000,,2017/3/23,20656.58008,280050000,,2017/3/23,1353.430054,32606000,,2017/3/23,13.12,0,,2017/3/23,24383.08984,0
2017/3/22,2348.449951,3572730000,,2017/3/22,5821.640137,1857680000,,2017/3/22,20661.30078,325090000,,2017/3/22,1345.599976,35727300,,2017/3/22,12.81,0,,2017/3/22,24382.44922,0
2017/3/21,2344.02002,4265590000,,2017/3/21,5793.830078,2192090000,,2017/3/21,20668.00977,369320000,,2017/3/21,1346.550049,42655900,,2017/3/21,12.47,0,,2017/3/21,24429.9707,0
2017/3/20,2373.469971,3054930000,,2017/3/20,5901.529785,1730550000,,2017/3/20,20905.85938,253610000,,2017/3/20,1384.099976,30549300,,2017/3/20,11.34,0,,2017/3/20,24583.88086,0
2017/3/17,2378.25,5178040000,,2017/3/17,5901,3184130000,,2017/3/17,20914.61914,535280000,,2017/3/17,1391.52002,51780400,,2017/3/17,11.28,0,,2017/3/17,24761.64063,0
2017/3/16,2381.379883,3365660000,,2017/3/16,5900.759766,1766980000,,2017/3/16,20934.55078,264360000,,2017/3/16,1386.030029,33656600,,2017/3/16,11.21,0,,2017/3/16,24778.39063,0
2017/3/15,2385.26001,3906840000,,2017/3/15,5900.049805,1952690000,,2017/3/15,20950.09961,306590000,,2017/3/15,1382.829956,39068400,,2017/3/15,11.63,0,,2017/3/15,24790.88086,0
2017/3/14,2365.449951,3172630000,,2017/3/14,5856.819824,1663170000,,2017/3/14,20837.36914,246820000,,2017/3/14,1362.380005,31726300,,2017/3/14,12.3,0,,2017/3/14,24564.7793,0
2017/3/13,2373.469971,3133900000,,2017/3/13,5875.779785,1799340000,,2017/3/13,20881.48047,289260000,,2017/3/13,1370.280029,31339000,,2017/3/13,11.35,0,,2017/3/13,24650.17969,0
2017/3/10,2372.600098,3432950000,,2017/3/10,5861.72998,1982150000,,2017/3/10,20902.98047,315430000,,2017/3/10,1365.26001,34329500,,2017/3/10,11.66,0,,2017/3/10,24642.2793,0
2017/3/9,2364.870117,3716340000,,2017/3/9,5838.810059,1883930000,,2017/3/9,20858.18945,275960000,,2017/3/9,1360.119995,37163400,,2017/3/9,12.3,0,,2017/3/9,24559.4707,0
2017/3/8,2362.97998,3812100000,,2017/3/8,5837.549805,1810480000,,2017/3/8,20855.73047,296780000,,2017/3/8,1366.040039,38121000,,2017/3/8,11.86,0,,2017/3/8,24563.51953,0
2017/3/7,2368.389893,3518390000,,2017/3/7,5833.930176,1822000000,,2017/3/7,20924.75977,274630000,,2017/3/7,1374.880005,35183900,,2017/3/7,11.45,0,,2017/3/7,24638,0
2017/3/6,2375.310059,3232700000,,2017/3/6,5849.180176,1767840000,,2017/3/6,20954.33984,266620000,,2017/3/6,1384.25,32327000,,2017/3/6,11.24,0,,2017/3/6,24727.57031,0
2017/3/3,2383.120117,3555260000,,2017/3/3,5870.75,1852130000,,2017/3/3,21005.71094,254420000,,2017/3/3,1394.130005,35552600,,2017/3/3,10.96,0,,2017/3/3,24819.00977,0
2017/3/2,2381.919922,3821320000,,2017/3/2,5861.220215,2040770000,,2017/3/2,21002.9707,319910000,,2017/3/2,1395.670044,38213200,,2017/3/2,11.81,0,,2017/3/2,24790.13086,0
2017/3/1,2395.959961,4345180000,,2017/3/1,5904.029785,2210360000,,2017/3/1,21115.55078,392820000,,2017/3/1,1413.640015,43451800,,2017/3/1,12.54,0,,2017/3/1,24960.7793,0
2017/2/28,2363.639893,4210140000,,2017/2/28,5825.439941,2298380000,,2017/2/28,20812.24023,339210000,,2017/2/28,1386.680054,42101400,,2017/2/28,12.92,0,,2017/2/28,24609.78906,0
2017/2/27,2369.75,3582610000,,2017/2/27,5861.899902,1876090000,,2017/2/27,20837.43945,256540000,,2017/2/27,1407.969971,35826100,,2017/2/27,12.09,0,,2017/2/27,24734.83008,0
2017/2/24,2367.340088,3831570000,,2017/2/24,5845.310059,1683280000,,2017/2/24,20821.75977,292540000,,2017/2/24,1394.52002,38315700,,2017/2/24,11.47,0,,2017/2/24,24689.92969,0
2017/2/23,2363.810059,4015260000,,2017/2/23,5835.509766,1879670000,,2017/2/23,20810.32031,302110000,,2017/2/23,1394.619995,40152600,,2017/2/23,11.71,0,,2017/2/23,24659.16992,0
2017/2/22,2362.820068,3468670000,,2017/2/22,5860.629883,1872330000,,2017/2/22,20775.59961,310530000,,2017/2/22,1403.859985,34686700,,2017/2/22,11.74,0,,2017/2/22,24681.31055,0
2017/2/21,2365.379883,3579780000,,2017/2/21,5865.950195,1935110000,,2017/2/21,20743,336880000,,2017/2/21,1410.339966,35797800,,2017/2/21,11.57,0,,2017/2/21,24720.28906,0
2017/2/17,2351.159912,3513060000,,2017/2/17,5838.580078,1875580000,,2017/2/17,20624.05078,340620000,,2017/2/17,1399.859985,35130600,,2017/2/17,11.49,0,,2017/2/17,24571.56055,0
2017/2/16,2347.219971,3672370000,,2017/2/16,5814.899902,1943600000,,2017/2/16,20619.76953,354120000,,2017/2/16,1399.130005,36723700,,2017/2/16,11.76,0,,2017/2/16,24535.42969,0
2017/2/15,2349.25,3775590000,,2017/2/15,5819.439941,2083660000,,2017/2/15,20611.85938,384380000,,2017/2/15,1404.209961,37755900,,2017/2/15,11.97,0,,2017/2/15,24565.5293,0
2017/2/14,2337.580078,3520910000,,2017/2/14,5782.569824,1945160000,,2017/2/14,20504.41016,356580000,,2017/2/14,1396.650024,35209100,,2017/2/14,10.74,0,,2017/2/14,24458.92969,0
2017/2/13,2328.25,3349730000,,2017/2/13,5763.959961,1840010000,,2017/2/13,20412.16016,314620000,,2017/2/13,1392.380005,33497300,,2017/2/13,11.07,0,,2017/2/13,24362.33008,0
2017/2/10,2316.100098,3475020000,,2017/2/10,5734.129883,1852010000,,2017/2/10,20269.36914,312230000,,2017/2/10,1388.839966,34750200,,2017/2/10,10.85,0,,2017/2/10,24248.91016,0
2017/2/9,2307.870117,3677940000,,2017/2/9,5715.180176,1943840000,,2017/2/9,20172.40039,325310000,,2017/2/9,1378.530029,36779400,,2017/2/9,10.88,0,,2017/2/9,24156.21094,0
2017/2/8,2294.669922,3609740000,,2017/2/8,5682.450195,1945060000,,2017/2/8,20054.33984,280410000,,2017/2/8,1358.73999,36097400,,2017/2/8,11.45,0,,2017/2/8,23994.03906,0
2017/2/7,2293.080078,3448690000,,2017/2/7,5674.220215,1919100000,,2017/2/7,20090.28906,279670000,,2017/2/7,1361.060059,34486900,,2017/2/7,11.29,0,,2017/2/7,23972.4707,0
2017/2/6,2292.560059,3109050000,,2017/2/6,5663.549805,1732280000,,2017/2/6,20052.41992,281720000,,2017/2/6,1366.660034,31090500,,2017/2/6,11.37,0,,2017/2/6,23989.49023,0
2017/2/3,2297.419922,3597970000,,2017/2/3,5666.77002,1786860000,,2017/2/3,20071.46094,344220000,,2017/2/3,1377.839966,35979700,,2017/2/3,10.97,0,,2017/2/3,24052.78906,0
2017/2/2,2280.850098,3807710000,,2017/2/2,5636.200195,2073980000,,2017/2/2,19884.91016,347220000,,2017/2/2,1357.430054,38077100,,2017/2/2,11.93,0,,2017/2/2,23851.08008,0
2017/2/1,2279.550049,3916610000,,2017/2/1,5642.649902,2223560000,,2017/2/1,19890.93945,426670000,,2017/2/1,1361.22998,39166100,,2017/2/1,11.81,0,,2017/2/1,23849.42969,0
2017/1/31,2278.870117,4087450000,,2017/1/31,5614.790039,2041480000,,2017/1/31,19864.08984,373750000,,2017/1/31,1361.819946,40874500,,2017/1/31,11.99,0,,2017/1/31,23847.21094,0
2017/1/30,2280.899902,3591270000,,2017/1/30,5613.709961,1777090000,,2017/1/30,19971.13086,317280000,,2017/1/30,1352.329956,35912700,,2017/1/30,11.88,0,,2017/1/30,23858.82031,0
2017/1/27,2294.689941,3135890000,,2017/1/27,5660.779785,1663400000,,2017/1/27,20093.7793,343130000,,2017/1/27,1370.699951,31358900,,2017/1/27,10.58,0,,2017/1/27,24009.08984,0
2017/1/26,2296.679932,3610360000,,2017/1/26,5655.180176,1827490000,,2017/1/26,20100.91016,356730000,,2017/1/26,1375.599976,36103600,,2017/1/26,10.63,0,,2017/1/26,24052.53906,0
2017/1/25,2298.370117,3846020000,,2017/1/25,5656.339844,1959950000,,2017/1/25,20068.50977,372240000,,2017/1/25,1382.439941,38460200,,2017/1/25,10.81,0,,2017/1/25,24070.2793,0
2017/1/24,2280.070068,3810960000,,2017/1/24,5600.959961,1805370000,,2017/1/24,19912.71094,374460000,,2017/1/24,1369.209961,38109600,,2017/1/24,11.07,0,,2017/1/24,23879.28906,0
2017/1/23,2265.199951,3152710000,,2017/1/23,5552.939941,1650290000,,2017/1/23,19799.84961,326690000,,2017/1/23,1347.839966,31527100,,2017/1/23,11.77,0,,2017/1/23,23693,0
2017/1/20,2271.310059,3524970000,,2017/1/20,5555.330078,1740320000,,2017/1/20,19827.25,435260000,,2017/1/20,1351.849976,35249700,,2017/1/20,11.54,0,,2017/1/20,23743.67969,0
2017/1/19,2263.689941,3165970000,,2017/1/19,5540.080078,1805710000,,2017/1/19,19732.40039,301750000,,2017/1/19,1345.73999,31659700,,2017/1/19,12.78,0,,2017/1/19,23663.7207,0
2017/1/18,2271.889893,3315250000,,2017/1/18,5555.649902,1683320000,,2017/1/18,19804.7207,279760000,,2017/1/18,1358.560059,33152500,,2017/1/18,12.48,0,,2017/1/18,23753.65039,0
2017/1/17,2267.889893,3584990000,,2017/1/17,5538.72998,1757030000,,2017/1/17,19826.76953,341900000,,2017/1/17,1352.319946,35849900,,2017/1/17,11.87,0,,2017/1/17,23711.33984,0
2017/1/13,2274.639893,3081270000,,2017/1/13,5574.120117,1605110000,,2017/1/13,19885.73047,263780000,,2017/1/13,1372.050049,30812700,,2017/1/13,11.23,0,,2017/1/13,23807.98047,0
2017/1/12,2270.439941,3462130000,,2017/1/12,5547.490234,1801750000,,2017/1/12,19891,306290000,,2017/1/12,1361.069946,34621300,,2017/1/12,11.54,0,,2017/1/12,23738.88086,0
2017/1/11,2275.320068,3620410000,,2017/1/11,5563.649902,1954720000,,2017/1/11,19954.2793,336150000,,2017/1/11,1373.300049,36204100,,2017/1/11,11.26,0,,2017/1/11,23808.2793,0
